MouseID,cls,DYRK1A_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pJNK_N,PKCA_N,pMEK_N,pNR2A_N,pPKCAB_N,pRSK_N,AKT_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,DSCR1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_N,pPKCG_N,CDK5_N,S6_N,ADARB1_N,AcetylH3K9_N,RRP1_N,BAX_N,ARC_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,BAD_N,BCL2_N,pCFOS_N,SYP_N,H3AcK18_N,EGR1_N,H3MeK4_N,CaNA_N
3507_8,0,0.10031667556158574,0.5183322550569912,0.45514317008975047,0.3737505044626682,0.36857273337866403,0.46725990337929796,0.1562956016640699,0.46294223540422585,0.1450827346801599,0.6408361421857074,0.38027436464661046,0.5703324813857911,0.3177828032212201,0.22996113757485187,0.5981383681012332,0.5145867191013143,0.41883421058615433,0.27898429813794967,0.24754601710405597,0.45283070475066756,0.4389415128581814,0.5969472775223058,0.4396563866743771,0.6775701705752248,0.31161740049966036,0.36021421767382833,0.06676722936162655,0.5404013443461031,0.24806339392115628,0.6356066428867339,0.5576368664138184,0.24181944142011247,0.49486275023540294,0.48028847520211826,0.31418410905297245,0.34126199376343525,0.049174856898115155,0.3113428453051942,0.4691599912994538,0.3727877536924077,0.1343927162818671,0.17813777517341328,0.5423240421660231,0.2428718483596517,0.036049135326218805,0.3180827032837656,0.44926011456280324,0.569950023460129,0.5134594879449256,0.5879964798449134,0.14583580165441662,0.298146437501396,0.8181751835847823,0.1440892033881887,0.4724972514040132,0.3745424358972248,0.44057409577297635,0.694650689504624,0.35892230358769384,0.3870260905931171,0.3709574050527702,0.32924118265556057,0.45617713125005727,0.2699017578622026,0.2569391418056675,0.4680550308379704,0.1963379490748738,0.271983598088783,0.4579263246418259,0.6506071368127686
50810C_7,5,0.1294172224082111,0.5830772754810096,0.46216368977050737,0.33742537916698845,0.3109804058234287,0.3912320129346661,0.1471951236409215,0.4862421798197889,0.17182971626907675,0.620506184025256,0.48353530199241845,0.5662549542400256,0.31760772584483965,0.6532655262949525,0.6004576078088281,0.5648047552693696,0.33911277060207534,0.24386608294563816,0.3846097287043809,0.5591235193324101,0.5202558503305488,0.597211052454499,0.602217705782833,0.7692251004045998,0.2683319885984935,0.6428697001013163,0.08207845502741543,0.4169304693047265,0.08735480225800796,0.5456960767328766,0.5611219438858567,0.26440825301565996,0.39296410553171,0.43689759570998243,0.20370024884579463,0.3335293866112452,0.09726944006543209,0.5781643662154724,0.5525690308061759,0.49370725812404437,0.574888031982892,0.2708853860190678,0.5067578403094535,0.576338283817876,0.03547238219914938,0.3017449413454619,0.7261790972580385,0.45153432654237224,0.5814499160938792,0.29317350403191167,0.23854719121212925,0.2124358024703753,0.4067072888582467,0.10566268627449571,0.2913893762009514,0.36290634042544523,0.36530697040547777,0.6461863310424325,0.2865879983099412,0.47746724239032834,0.5897969758249089,0.2114170070699275,0.19959182130044012,0.06765239799060074,0.1543974904157434,0.4959011631299285,0.03759550784476562,0.07597786707595217,0.09552629867453016,0.8427281556487995
3477_3,1,0.19129788236257028,0.8628191379913345,0.6541219820585426,0.5900909971879632,0.47749481275383576,0.5261177144918934,0.515299118058795,0.8761400651297402,0.2761756322028026,0.800953421374299,0.9179253939813676,0.6877294500447003,0.8926244999321393,0.8741041431384908,0.756784969119208,0.7007516100512555,0.4767903408156088,0.42962359177727605,0.7320532328669667,0.6145520433409108,0.5847631771594356,0.686633095379219,0.7292529063870602,0.8786141984096765,0.392401990747662,0.6219789912658414,0.11951555035187467,0.7343193292490542,0.2799561267118261,0.7755045051993972,0.703432401012221,0.6687994415056044,0.6110344375721091,0.6292589156901249,0.6246088901854583,0.6654652629267934,0.2580328273565564,0.3328606464594698,0.4357039856807651,0.510801668950784,0.3520385975166464,0.17271464076810633,0.33425907978003394,0.9041780227988464,0.16716340226619192,0.3201230677609045,0.660992054362393,0.5611951310786144,0.5053589288814425,0.40980724921146494,0.16631312629129458,0.24968119263349675,0.32790273650446955,0.1196806097333098,0.1550854427055972,0.4090258802411043,0.38575282399679756,0.38578402669329925,0.2594675824267103,0.21633485213743653,0.18014934270299054,0.369229572705595,0.330432404130416,0.15513483926916782,0.13993075416100126,0.23974858714304914,0.1860150642944172,0.14743336360553277,0.2954241407159326,0.48323785840252914
3516_4,3,0.03328503017332845,0.3908322924085742,0.30045826236810735,0.24944384670130215,0.25473577680205317,0.381681070963189,0.35964631961360205,0.49638226583505074,0.09455332367916547,0.49707805845590713,0.2808139473238326,0.43201042067728557,0.4141001395998455,0.08872000774026828,0.6336901412762692,0.60880882322873,0.3125844247656594,0.3731179556084382,0.3191848086572098,0.2108766035267275,0.2715947194858599,0.46074855992744745,0.29300898537224107,0.4550833883984631,0.16496099611540493,0.1966156238625434,0.28363412858534587,0.41516649564330227,0.2650727871411801,0.5707435156400468,0.4409871221050323,0.17092002486825086,0.4651233913909061,0.18807459561870488,0.22929620115444682,0.1899591793265889,0.20551046340667958,0.30995939597025113,0.4405858228225827,0.3527707518783808,0.2617083917045931,0.13257264749491354,0.5959409775292417,0.2449747731780645,0.6950458047224469,0.365921984466488,0.5954344472117189,0.7051943422140817,0.6969646073645887,0.4864769425059349,0.7463727095864057,0.36906154812668956,0.6957935424231522,0.1302668445803653,0.5895104883225413,0.2851518324470844,0.428418224409457,0.7255606866673234,0.43171871228603953,0.32898995796346964,0.2573039989327701,0.3171152744357699,0.4229579753109936,0.3084040158303667,0.26438190182657945,0.35392391143861146,0.1963379490748738,0.4075917115743876,0.7748806738071113,0.339510091451472
3525_7,7,0.0999005047518639,0.7024419730560879,0.46977891798118276,0.41730358950982827,0.47467231353278494,0.5446785804267653,0.8231451064838441,0.6820351586038214,0.17112504721764904,0.7065748984805582,0.7974590380257691,0.717565093195808,0.3969981368480796,0.6435941078718515,0.7645819387032852,0.633521404189757,0.5442223429616581,0.4751438728830971,0.2836046744368811,0.4146946941063143,0.4745166892904621,0.7347101462314436,0.6767625594205703,0.7784443300904991,0.37629410436710065,0.7547975307996316,0.1998448237955946,0.7190510330779869,0.40068917892157563,0.7560250555939338,0.6862681485710693,0.42906309423698374,0.6171595661439084,0.5383398033532398,0.5621547465437242,0.570517342868408,0.5649099114927685,0.25092223493009314,0.43987050905985076,0.4150813567858206,0.7326491355727089,0.18773931394468252,0.4089023474766759,0.4653913663312442,0.12702510283564908,0.3341080442306402,0.7503031578368974,0.6648348977773061,0.7198213199653353,0.5771968594373306,0.22621972959505426,0.21650942339676216,0.3244364532238294,0.11639671696679205,0.316999200059502,0.41071744056369963,0.38993548705448344,0.6716089466125934,0.30973467647728026,0.5752943265736714,0.5310736520663268,0.373215651574873,0.4254345574590283,0.1723363619062399,0.20921332980998114,0.4310648607572918,0.17062717342551212,0.21403050152683917,0.2879859480814986,0.38166273661521993
3479_14,1,0.1608436595685797,0.6431101348733915,0.5530287669825876,0.3167188782400605,0.2542591032700866,0.17972353430429833,0.23103774339581387,0.650584784256701,0.2064675320960386,0.061704710064683255,0.8661385946467721,0.32123795051422116,0.282168431170707,0.7638204999147782,0.11532515816373398,0.24951849806075233,0.6149159011515212,0.3950113402954848,0.2596203922287096,0.4206394924880983,0.4544877306390386,0.053602745383129036,0.09709615687639794,0.5966483201704458,0.3948982334955077,0.4015053431832195,0.12311714774732124,0.5602675753727508,0.2961833922714827,0.6133747230524479,0.6878312279993991,0.330045652188631,0.608009607242806,0.45307847772044474,0.45955401551302266,0.4801857111082536,0.6244754538855442,0.0704363603486049,0.20737439007157377,0.410550600385735,0.771219941332391,0.17330294106865046,0.3287348594245259,0.29230226734549114,0.05974968702465721,0.3439606239228045,0.5267114973375643,0.5637776415859966,0.47618315336848627,0.38815388560812714,0.11568701607984005,0.3636243257439876,0.5892235607497022,0.14206935052179487,0.3435653697536837,0.633644871630927,0.2093435172837339,0.4976953968255011,0.43943996070870783,0.3255604709868506,0.5045000423683741,0.5105001728662701,0.330432404130416,0.2699017578622026,0.5132502715683527,0.3725636140594495,0.24574802181041386,0.271983598088783,0.4290498702383331,0.5027804586602778
322_9,0,0.07734037910868186,0.4731394891204559,0.2965659677792911,0.3577629508093173,0.34791917464005684,0.4711571063849646,0.3872703088736801,0.32229114788892876,0.15660976805086393,0.6201908041890796,0.36566359688593186,0.49932195300437043,0.44187402645501583,0.2362050083306863,0.5073079018419742,0.5427692062987203,0.42840873366318033,0.2790719964424567,0.22316756585294564,0.3901453809373119,0.3584449023089833,0.5602074210441007,0.3861582970205606,0.5703127136061377,0.21975346652676286,0.3331104139615052,0.06412832241208091,0.5310300621204873,0.27474955243615296,0.62249366353117,0.6429502785394684,0.36727702120786554,0.493767090428613,0.6404116217639968,0.4080747641715621,0.3526162315535004,0.05707010345172822,0.3182683809625697,0.5147743785452858,0.40144313179828084,0.102232658080461,0.22872825482383358,0.35000503044106474,0.3742550789907354,0.03270715869725833,0.33034826552159635,0.665446123329639,0.7858483412526366,0.6925602723307015,0.4377266578085165,0.15665738587810296,0.319491480839748,0.6153604475347417,0.14154837447372653,0.6204328438312365,0.5162719287017933,0.5177618647832251,0.6455759686459797,0.45177180100857917,0.4669783424434568,0.4174564368779856,0.4272621354515209,0.330432404130416,0.4218710148010101,0.2651746209988611,0.4961266769679812,0.1963379490748738,0.271983598088783,0.2954241407159326,0.647879580601951
J3295_15,7,0.0663418420117636,0.3701331931397377,0.3139757577956246,0.12702837226024782,0.3946190723223716,0.5049687794984299,0.16630810294013945,0.5729028661965978,0.11172026297908325,0.5474872161063705,0.2974494861172299,0.6454325439211912,0.19526922340736888,0.2865540956639227,0.6005139949407505,0.505554037401372,0.36658371521668587,0.35910258746031365,0.16789486580909327,0.1608566708722532,0.3523396068663831,0.706238273772876,0.501507313238155,0.5828063248520745,0.41790292407182383,0.4215566200786235,0.3440718368565795,0.4178326409693504,0.15770093431474314,0.4552049551115448,0.49730342971151387,0.12922515065810747,0.5756566636378811,0.21526055922469145,0.2376740706485908,0.2694192317847427,0.41642050497888594,0.3565820227919628,0.3208722607618509,0.4746983795794931,0.738772656483808,0.21351274629223366,0.7242531762077211,0.1032072493525818,0.3431642914587159,0.37960571753783756,0.5914976351671729,0.5644589028804431,0.6617188928184449,0.5687812068586752,0.5862123770565848,0.42679113899668664,0.42334321124485896,0.10512382141695381,0.5716220611845233,0.6308972176265858,0.367505181151618,0.7897438186357904,0.5325600954100163,0.45044770425195346,0.7062897430108552,0.6741466138656216,0.7191165738676892,0.2699017578622026,0.5969075840529416,0.3228205599840719,0.6383114803038686,0.5779140889628773,0.844209505621334,0.5083356713673843
3420_2,2,0.04196090212233133,0.379127658500385,0.30659987293775937,0.28434850737969297,0.3306920232124425,0.4305937111227292,0.6217572075898848,0.5677136826633216,0.13283136251839098,0.6887318166695213,0.3108683675089696,0.5603129009889267,0.7508122484087972,0.2304513754456734,0.6327908353484236,0.46452855985840014,0.2949654105590994,0.29958983523863747,0.21580599055140812,0.18312573054704617,0.34092580492068536,0.4877102395686781,0.3144271201143245,0.526864132915419,0.25791132776693726,0.19271642622243323,0.2608627619018418,0.41565778398778214,0.2752623244227468,0.6990654160902359,0.4726205104995054,0.21081024441827467,0.41617070160846337,0.23420880081646045,0.2914158542613382,0.22069922279890786,0.2932471705530507,0.27527562856498644,0.5514798141239439,0.29675487600072026,0.44179718381288086,0.0957885190565993,0.2972798469444943,0.3911416718630244,0.13015464302239046,0.34442002181060094,0.6777341103226838,0.7292918715595723,0.477508271166286,0.5164174776234195,0.16817642006530237,0.3165216392480307,0.5196914606166122,0.09987850079081323,0.40848706770951004,0.2446531289900623,0.5202386183745865,0.7458099131330636,0.3587470668598456,0.6555189880010379,0.26368395683709966,0.2544845425126754,0.330432404130416,0.2699017578622026,0.17289777177897775,0.5162659346274642,0.2779928202590305,0.271983598088783,0.2954241407159326,0.2492977263819896
3426_9,7,0.10814337657350037,0.5410237075228564,0.35153124554018567,0.24821928206297428,0.36423937317069066,0.5010745050802714,0.3333869237701418,0.6156445478656858,0.14451255711505936,0.6291989951279026,0.46895569560806005,0.6075452857201709,0.3784508181830134,0.36977093665753996,0.7943124990382109,0.5493499118812011,0.40372393088502645,0.4541964051484514,0.2909855799349581,0.3384206042633767,0.4486739279950781,0.6038210993039943,0.53879741674435,0.6501450157744211,0.3665830312496837,0.5165827782492639,0.24349673705602354,0.4923705122982545,0.31745618180656376,0.5745095268206898,0.5861031359557519,0.31489806749671734,0.47552754975155265,0.42968987545262194,0.49476792293777794,0.39980322437127624,0.36922482417090163,0.4764800620608117,0.5585355346615692,0.5172115223832127,0.7182740345784786,0.25726844775347685,0.6503014435951942,0.28434372315290213,0.1508862954307545,0.34442752049566566,0.6837467444567465,0.5555244786765193,0.5437067219854114,0.5826979433526825,0.44622841874333313,0.30514362785560445,0.42332118367077076,0.11235134400404118,0.4105464921527584,0.4584222889224946,0.4641794475757819,0.6391159924428209,0.34313594526945934,0.35195226731253637,0.7429912635212146,0.2660208631998393,0.33513596040714616,0.16418586603972984,0.13748365259972056,0.3718584696120014,0.18358087221279049,0.17346609127814555,0.3080816579178963,0.6026819055665364
